,college,df
10,001-國立臺灣大學-化學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系大學部的課程（包括有機化學、無機化學、物理化學、分析化學等四大主科，以及材料、生物化學等...
2  學習準備建議方向  ...  本系大學部的課程（包括有機化學、無機化學、物理化學、分析化學等四大主科，以及材料、生物化學等...
3  學習準備建議方向  ...  本系大學部的課程（包括有機化學、無機化學、物理化學、分析化學等四大主科，以及材料、生物化學等...
4    學習歷程自述  ...                                         1.高中學習歷程反思
5        其他  ...                                          1.高中老師推薦信

[6 rows x 4 columns]]"
11,001-國立臺灣大學-地質科學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  一、修課紀錄之準備指引：1.是否有修習與地質科學系相關領域科目或課程。2.請具體說明選修相關...
2  學習準備建議方向  ...  一、修課紀錄之準備指引：1.是否有修習與地質科學系相關領域科目或課程。2.請具體說明選修相關...
3  學習準備建議方向  ...  一、修課紀錄之準備指引：1.是否有修習與地質科學系相關領域科目或課程。2.請具體說明選修相關...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
12,001-國立臺灣大學-心理學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系秉持培育通才的觀點兼顧理論與實用。透過人文、社會、生物與自然學科的廣博基礎訓練，彰顯心理...
2  學習準備建議方向  ...  本系秉持培育通才的觀點兼顧理論與實用。透過人文、社會、生物與自然學科的廣博基礎訓練，彰顯心理...
3  學習準備建議方向  ...  本系秉持培育通才的觀點兼顧理論與實用。透過人文、社會、生物與自然學科的廣博基礎訓練，彰顯心理...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
13,001-國立臺灣大學-地理環境資源學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  地理學向來重視人類與環境互動過程中的可持續性，強調區域的特殊性，以及尊重與包容不同的差異。在...
2  學習準備建議方向  ...  地理學向來重視人類與環境互動過程中的可持續性，強調區域的特殊性，以及尊重與包容不同的差異。在...
3  學習準備建議方向  ...  地理學向來重視人類與環境互動過程中的可持續性，強調區域的特殊性，以及尊重與包容不同的差異。在...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                       1.競賽成果2.學習表現

[6 rows x 4 columns]]"
14,001-國立臺灣大學-大氣科學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系教育目標為培養具大氣科學(劇烈天氣、區域氣候、大氣環境與化學)及泛理工科（如地球科學、數...
2  學習準備建議方向  ...  本系教育目標為培養具大氣科學(劇烈天氣、區域氣候、大氣環境與化學)及泛理工科（如地球科學、數...
3  學習準備建議方向  ...  本系教育目標為培養具大氣科學(劇烈天氣、區域氣候、大氣環境與化學)及泛理工科（如地球科學、數...
4    學習歷程自述  ...                                   1.高中學習歷程反思2.就讀動機
5        其他  ...                                                  無

[6 rows x 4 columns]]"
15,001-國立臺灣大學-政治學系政治理論組,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
2  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
3  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
16,001-國立臺灣大學-政治學系國際關係組,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
2  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
3  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
17,001-國立臺灣大學-政治學系公共行政組,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
2  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
3  學習準備建議方向  ...  首先，本系高度重視「學習歷程自述：含高中學習歷程反思、就讀動機、未來學習計劃與生涯規劃」，考...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
18,001-國立臺灣大學-經濟學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  1.修課紀錄：著重數學、英文及經濟學相關領域等科目之修習與成績表現。2.課程學習成果與多元表...
2  學習準備建議方向  ...  1.修課紀錄：著重數學、英文及經濟學相關領域等科目之修習與成績表現。2.課程學習成果與多元表...
3  學習準備建議方向  ...  1.修課紀錄：著重數學、英文及經濟學相關領域等科目之修習與成績表現。2.課程學習成果與多元表...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                             1.每項自述各以一頁為限2.超出部份不予計分

[6 rows x 4 columns]]"
19,001-國立臺灣大學-社會學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系重視具有溝通領導、邏輯推理、批判思考、主動學習和合作共榮的特質與能力。請在學習歷程自述中...
2  學習準備建議方向  ...  本系重視具有溝通領導、邏輯推理、批判思考、主動學習和合作共榮的特質與能力。請在學習歷程自述中...
3  學習準備建議方向  ...  本系重視具有溝通領導、邏輯推理、批判思考、主動學習和合作共榮的特質與能力。請在學習歷程自述中...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
20,001-國立臺灣大學-社會工作學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                          3
0        項目  ...                                         內容
1  學習準備建議方向  ...  社會工作專業人員需面對各種壓力情境，申請者需評估個人身心狀況適合，且具社會適應力。
2  學習準備建議方向  ...  社會工作專業人員需面對各種壓力情境，申請者需評估個人身心狀況適合，且具社會適應力。
3  學習準備建議方向  ...  社會工作專業人員需面對各種壓力情境，申請者需評估個人身心狀況適合，且具社會適應力。
4    學習歷程自述  ...              1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                          無

[6 rows x 4 columns]]"
21,001-國立臺灣大學-醫學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系之教育目標：培育良醫、服務社會、領導醫界、貢獻人類。適合具多元能力(科學能力、助人能力及...
2  學習準備建議方向  ...  本系之教育目標：培育良醫、服務社會、領導醫界、貢獻人類。適合具多元能力(科學能力、助人能力及...
3  學習準備建議方向  ...  本系之教育目標：培育良醫、服務社會、領導醫界、貢獻人類。適合具多元能力(科學能力、助人能力及...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
22,001-國立臺灣大學-牙醫學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系之教育目標致力於提供專業素養、卓越領導、國際視野、人文倫理及社會關懷的學習環境，期許在本...
2  學習準備建議方向  ...  本系之教育目標致力於提供專業素養、卓越領導、國際視野、人文倫理及社會關懷的學習環境，期許在本...
3  學習準備建議方向  ...  本系之教育目標致力於提供專業素養、卓越領導、國際視野、人文倫理及社會關懷的學習環境，期許在本...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
23,001-國立臺灣大學-藥學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  秉持本系的教育理念，將以「培育優良藥師、力行創新服務、服務社會人群、及奉獻領導藥界」為中心思...
2  學習準備建議方向  ...  秉持本系的教育理念，將以「培育優良藥師、力行創新服務、服務社會人群、及奉獻領導藥界」為中心思...
3  學習準備建議方向  ...  秉持本系的教育理念，將以「培育優良藥師、力行創新服務、服務社會人群、及奉獻領導藥界」為中心思...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                               1.自傳

[6 rows x 4 columns]]"
24,001-國立臺灣大學-醫學檢驗暨生物技術學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                              3
0        項目  ...                             內容
1  學習準備建議方向  ...                              無
2  學習準備建議方向  ...                              無
3  學習準備建議方向  ...                              無
4    學習歷程自述  ...  1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...       1.對未來醫學檢驗的了解2.對未來生物技術的了解

[6 rows x 4 columns]]"
25,001-國立臺灣大學-護理學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系教育宗旨在培育護理專業領導人才，著重學生對人關懷的特質，並能以護理為其志業。因此希望能招...
2  學習準備建議方向  ...  本系教育宗旨在培育護理專業領導人才，著重學生對人關懷的特質，並能以護理為其志業。因此希望能招...
3  學習準備建議方向  ...  本系教育宗旨在培育護理專業領導人才，著重學生對人關懷的特質，並能以護理為其志業。因此希望能招...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
26,001-國立臺灣大學-物理治療學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  1.個⼈資料表請⾄本系網⾴下載個⼈資料表格式，並依格式填寫。2.⼩論文題⽬請⾒本系網⾴ (限...
2  學習準備建議方向  ...  1.個⼈資料表請⾄本系網⾴下載個⼈資料表格式，並依格式填寫。2.⼩論文題⽬請⾒本系網⾴ (限...
3  學習準備建議方向  ...  1.個⼈資料表請⾄本系網⾴下載個⼈資料表格式，並依格式填寫。2.⼩論文題⽬請⾒本系網⾴ (限...
4    學習歷程自述  ...                                1.就讀動機2.未來學習計畫與生涯規劃
5        其他  ...                    1.個人資料表(見備註)2.自傳(限一頁)3.小論文(見備註)

[6 rows x 4 columns]]"
27,001-國立臺灣大學-職能治療學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...           3
0        項目  ...          內容
1  學習準備建議方向  ...           無
2  學習準備建議方向  ...           無
3  學習準備建議方向  ...           無
4    學習歷程自述  ...      1.就讀動機
5        其他  ...  1.其他有利審查資料

[6 rows x 4 columns]]"
28,001-國立臺灣大學-土木工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系選才理念：土木工程需要多元人才以因應複雜的人居環境建設需求，雖以數理為重，但亦兼顧社會人...
2  學習準備建議方向  ...  本系選才理念：土木工程需要多元人才以因應複雜的人居環境建設需求，雖以數理為重，但亦兼顧社會人...
3  學習準備建議方向  ...  本系選才理念：土木工程需要多元人才以因應複雜的人居環境建設需求，雖以數理為重，但亦兼顧社會人...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
29,001-國立臺灣大學-機械工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0       1                                                  2       3
0        項目      內容                                                 內容      內容
1  學習準備建議方向    修課紀錄  1.本系屬工程學群1 ，參考部定必修、加深加廣選修、校訂必修、多元選修及綜合型高中之課程2 ...       無
2  學習準備建議方向  課程學習成果  學生可就下列內容或其他課程學習成果選擇提供，至多3件，本系據以綜合評量。1.書面報告2.自然...       無
3  學習準備建議方向    多元表現  學生可就下列內容或其他有利審查資料選擇提供，至多10件，並另撰寫「多元表現綜整心得」，本系據...       無
4    學習歷程自述  1.就讀動機                                             1.就讀動機  1.就讀動機
5        其他       無                                                  無       無]"
30,001-國立臺灣大學-化學工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  化學工程的核心，是大量且有效率地將原料轉變為產品的程序：藥物、食品、光電元件、能源材料、以至...
2  學習準備建議方向  ...  化學工程的核心，是大量且有效率地將原料轉變為產品的程序：藥物、食品、光電元件、能源材料、以至...
3  學習準備建議方向  ...  化學工程的核心，是大量且有效率地將原料轉變為產品的程序：藥物、食品、光電元件、能源材料、以至...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                            1.學業總成績

[6 rows x 4 columns]]"
31,001-國立臺灣大學-工程科學及海洋工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系的教學研究特色為電機、資訊、機械、船舶海洋工程跨領域專業科技人才培育，教學目標乃在提供跨...
2  學習準備建議方向  ...  本系的教學研究特色為電機、資訊、機械、船舶海洋工程跨領域專業科技人才培育，教學目標乃在提供跨...
3  學習準備建議方向  ...  本系的教學研究特色為電機、資訊、機械、船舶海洋工程跨領域專業科技人才培育，教學目標乃在提供跨...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
32,001-國立臺灣大學-材料科學與工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  材料科學的領域包羅萬象，包含物質的化學組成、鍵結、微結構、熱力學、動力學、固態物理、量子科學...
2  學習準備建議方向  ...  材料科學的領域包羅萬象，包含物質的化學組成、鍵結、微結構、熱力學、動力學、固態物理、量子科學...
3  學習準備建議方向  ...  材料科學的領域包羅萬象，包含物質的化學組成、鍵結、微結構、熱力學、動力學、固態物理、量子科學...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                            1.各年級學業成績排名2.修課記錄（至高三下）

[6 rows x 4 columns]]"
33,001-國立臺灣大學-醫學工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                              3
0        項目  ...                             內容
1  學習準備建議方向  ...                              無
2  學習準備建議方向  ...                              無
3  學習準備建議方向  ...                              無
4    學習歷程自述  ...  1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                              無

[6 rows x 4 columns]]"
34,001-國立臺灣大學-農藝學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系培養學生了解現代化 作物科學與科技，學習各項基礎理論知識與大數據分析的應用，致力於作物改...
2  學習準備建議方向  ...  本系培養學生了解現代化 作物科學與科技，學習各項基礎理論知識與大數據分析的應用，致力於作物改...
3  學習準備建議方向  ...  本系培養學生了解現代化 作物科學與科技，學習各項基礎理論知識與大數據分析的應用，致力於作物改...
4    學習歷程自述  ...                                1.就讀動機2.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
35,001-國立臺灣大學-生物環境系統工程學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等成績表現。二、課程學習成果：著重修習生物、化學、物理等...
2  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等成績表現。二、課程學習成果：著重修習生物、化學、物理等...
3  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等成績表現。二、課程學習成果：著重修習生物、化學、物理等...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
36,001-國立臺灣大學-農業化學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系致力於全方位農業化學人才的培育，讓農業生產的初始端到終端所面臨的問題及應用均能以生物及化...
2  學習準備建議方向  ...  本系致力於全方位農業化學人才的培育，讓農業生產的初始端到終端所面臨的問題及應用均能以生物及化...
3  學習準備建議方向  ...  本系致力於全方位農業化學人才的培育，讓農業生產的初始端到終端所面臨的問題及應用均能以生物及化...
4    學習歷程自述  ...                                1.就讀動機2.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
37,001-國立臺灣大學-森林環境暨資源學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系招收對林業、自然資源及環境具有強烈興趣及動機之學生，培養卓越管理、研究或推廣之人才，以維...
2  學習準備建議方向  ...  本系招收對林業、自然資源及環境具有強烈興趣及動機之學生，培養卓越管理、研究或推廣之人才，以維...
3  學習準備建議方向  ...  本系招收對林業、自然資源及環境具有強烈興趣及動機之學生，培養卓越管理、研究或推廣之人才，以維...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                        1.對森林之認識及看法

[6 rows x 4 columns]]"
